K,Metric,Dataset,Voting,CV,Accuracy,F-score,Precision,Recall
17,chebyshev,iris,uniform,4,0.9674145299145299,0.9673644659151905,0.9687881562881563,0.9674145299145299
17,chebyshev,iris,uniform,5,0.9666666666666666,0.9665152780942254,0.9694949494949494,0.9666666666666666
17,chebyshev,iris,uniform,6,0.9675925925925926,0.9675190154034324,0.9697530864197531,0.9675925925925926
19,chebyshev,iris,uniform,2,0.9533333333333334,0.953298627143165,0.9545346628679962,0.9533333333333333
19,chebyshev,iris,uniform,3,0.9534313725490197,0.9531776637485051,0.9592917478882391,0.9534313725490197
19,chebyshev,iris,uniform,4,0.954059829059829,0.954031339031339,0.9544413919413919,0.954059829059829
19,chebyshev,iris,uniform,5,0.9533333333333334,0.9532832080200502,0.9551515151515151,0.9533333333333334
19,chebyshev,iris,uniform,6,0.9591049382716049,0.9583267180016405,0.9654040404040405,0.9591049382716049
21,chebyshev,iris,uniform,2,0.9466666666666667,0.9465811965811964,0.9484702093397747,0.9466666666666667
21,chebyshev,iris,uniform,3,0.9468954248366014,0.9468614718614718,0.9475308641975309,0.9468954248366012
21,chebyshev,iris,uniform,4,0.9540598290598291,0.9540071844419671,0.9555097680097681,0.9540598290598291
21,chebyshev,iris,uniform,5,0.96,0.9598653198653198,0.9622222222222222,0.9599999999999997
21,chebyshev,iris,uniform,6,0.9606481481481483,0.960447483086802,0.9642817059483727,0.9606481481481483
23,chebyshev,iris,uniform,2,0.9333333333333333,0.9330974648003634,0.9378273826049938,0.9333333333333333
23,chebyshev,iris,uniform,3,0.9538398692810457,0.9537423039162446,0.9554408898062149,0.9538398692810457
23,chebyshev,iris,uniform,4,0.9668803418803419,0.966770378038494,0.9701159951159952,0.966880341880342
23,chebyshev,iris,uniform,5,0.96,0.9599331662489557,0.9610774410774411,0.96
23,chebyshev,iris,uniform,6,0.9598765432098766,0.9596677559912853,0.9636644219977554,0.9598765432098766
25,chebyshev,iris,uniform,2,0.94,0.9398148953623319,0.9438918361332154,0.94
25,chebyshev,iris,uniform,3,0.9669117647058822,0.9668823410758894,0.9680010893246188,0.9669117647058822
25,chebyshev,iris,uniform,4,0.9529914529914529,0.952857334560233,0.9561299811299813,0.952991452991453
25,chebyshev,iris,uniform,5,0.96,0.9595959595959596,0.9666666666666668,0.96
25,chebyshev,iris,uniform,6,0.9529320987654321,0.9526960784313725,0.9574915824915825,0.9529320987654321
27,chebyshev,iris,uniform,2,0.9133333333333333,0.9126531010588982,0.9218664477285168,0.9133333333333333
27,chebyshev,iris,uniform,3,0.9534313725490197,0.9532321299794418,0.957748538011696,0.9534313725490197
27,chebyshev,iris,uniform,4,0.9610042735042735,0.9609637061810975,0.9619200244200244,0.9610042735042735
27,chebyshev,iris,uniform,5,0.9466666666666667,0.9464985696564643,0.9501010101010101,0.9466666666666665
27,chebyshev,iris,uniform,6,0.9483024691358025,0.9478930168558652,0.9528379028379028,0.9483024691358025
29,chebyshev,iris,uniform,2,0.9066666666666667,0.9063294526963735,0.9101731601731602,0.9066666666666665
29,chebyshev,iris,uniform,3,0.9142156862745098,0.9128884606412098,0.927399760733094,0.9142156862745098
29,chebyshev,iris,uniform,4,0.9529914529914529,0.9529336471365457,0.9544205794205796,0.952991452991453
29,chebyshev,iris,uniform,5,0.9533333333333334,0.9534037112984481,0.9595959595959597,0.9533333333333334
29,chebyshev,iris,uniform,6,0.9529320987654321,0.9528666437335168,0.9549382716049384,0.9529320987654321
