Data_set,Cv,Number_of_est,Accuracy,F-score
seeds.data,6,20,0.9095117845117845,0.9083613085786998
seeds.data,8,20,0.9097222222222222,0.9074862913001458
seeds.data,2,30,0.9095238095238095,0.9094678638905835
seeds.data,4,30,0.9055010893246187,0.9056883037533192
seeds.data,6,30,0.9196127946127947,0.9194862223123091
seeds.data,8,30,0.8912037037037037,0.8882595621469461
seeds.data,2,40,0.8904761904761904,0.8897708958408981
seeds.data,4,40,0.9052287581699346,0.9045412260872787
seeds.data,6,40,0.9099326599326599,0.9068438459018169
seeds.data,8,40,0.9056712962962963,0.9032265099022065
seeds.data,2,50,0.9238095238095239,0.9235383227249665
seeds.data,4,50,0.8959694989106755,0.8953123157307717
seeds.data,6,50,0.9044612794612794,0.9023753514333225
seeds.data,8,50,0.9050925925925926,0.9032626500892755
seeds.data,2,60,0.9047619047619048,0.902949535670124
seeds.data,4,60,0.9093137254901961,0.9088060515155292
seeds.data,6,60,0.9053030303030304,0.904928391146291
seeds.data,8,60,0.9103009259259259,0.9067957373007682
seeds.data,2,70,0.9142857142857144,0.9143557422969188
seeds.data,4,70,0.9035947712418301,0.9015396258280509
seeds.data,6,70,0.9090909090909091,0.9078783782254417
seeds.data,8,70,0.8958333333333333,0.8932834537323702
seeds.data,2,80,0.8952380952380952,0.8943998616419246
seeds.data,4,80,0.9095860566448801,0.9089826836053616
seeds.data,6,80,0.9002525252525252,0.8988237098382027
seeds.data,8,80,0.9056712962962963,0.9049113285665142
seeds.data,2,90,0.9,0.8979630139291104
seeds.data,4,90,0.9133986928104575,0.9123438373438374
seeds.data,6,90,0.8994107744107743,0.8971868898680494
seeds.data,8,90,0.8917824074074074,0.8901735548020377
seeds.data,2,100,0.8952380952380952,0.8951437303655088
seeds.data,4,100,0.8962418300653595,0.8947656587362469
seeds.data,6,100,0.9048821548821548,0.9030190904103947
seeds.data,8,100,0.9097222222222222,0.9073381472472031
