Data_set,Cv,Number_of_est,Max_depth,Accuracy,F-score,Max_feature
wine.data,8,10,1,0.8487436476566912,0.8255563254112015,6
wine.data,2,20,1,0.904419191919192,0.9014905358757818,6
wine.data,4,20,1,0.9161498708010336,0.9144821460123184,6
wine.data,6,20,1,0.8992063492063492,0.8935415364362734,6
wine.data,8,20,1,0.9374764728025597,0.9343527659704131,6
wine.data,2,30,1,0.9042929292929294,0.9031456653733771,6
wine.data,4,30,1,0.9214470284237726,0.9215039825272064,6
wine.data,6,30,1,0.9154761904761907,0.9191734347789446,6
wine.data,8,30,1,0.950098814229249,0.9501886747726531,6
wine.data,2,40,1,0.9550505050505051,0.9553315339388977,6
wine.data,4,40,1,0.9431524547803618,0.9442396827035777,6
wine.data,6,40,1,0.9043650793650794,0.9039342470724367,6
wine.data,8,40,1,0.926853943158291,0.9270876286452912,6
wine.data,2,50,1,0.915530303030303,0.9150464618662184,6
wine.data,4,50,1,0.9436692506459948,0.943939761102307,6
wine.data,6,50,1,0.9603174603174605,0.9596513688571839,6
wine.data,8,50,1,0.9392292490118577,0.9386927285534097,6
wine.data,2,60,1,0.9383838383838384,0.9393329641807543,6
wine.data,4,60,1,0.926485788113695,0.9249485785266485,6
wine.data,6,60,1,0.9492063492063493,0.9466160570508397,6
wine.data,8,60,1,0.9278656126482214,0.9266805466205621,6
wine.data,2,10,1,0.765530303030303,0.7170792823261625,8
wine.data,4,10,1,0.8934108527131782,0.8948136091663214,8
wine.data,6,10,1,0.903968253968254,0.8951286234392978,8
wine.data,8,10,1,0.8378976096367401,0.8169152735522704,8
wine.data,2,20,1,0.876010101010101,0.8599014450500355,8
wine.data,4,20,1,0.9320413436692507,0.9268592195279743,8
wine.data,6,20,1,0.9039682539682539,0.8990805202711994,8
wine.data,8,20,1,0.9095143986448335,0.9047560486898722,8
wine.data,2,30,1,0.8819444444444444,0.8866584958571135,8
wine.data,4,30,1,0.8812661498708011,0.878124363335464,8
wine.data,6,30,1,0.9107142857142857,0.9104124060780409,8
wine.data,8,30,1,0.9320416901938642,0.9283497107897263,8
wine.data,2,40,1,0.9157828282828282,0.9201735905150223,8
wine.data,4,40,1,0.905297157622739,0.8993289679935721,8
wine.data,6,40,1,0.9158730158730161,0.9136811604927547,8
wine.data,8,40,1,0.9151962168266516,0.9150656661879573,8
wine.data,2,50,1,0.9329545454545455,0.928712581101315,8
wine.data,4,50,1,0.8764857881136949,0.8770171316076487,8
wine.data,6,50,1,0.8996031746031746,0.8904342467415112,8
wine.data,8,50,1,0.9115612648221344,0.9043069668263166,8
wine.data,2,60,1,0.8709595959595959,0.8762581173461319,8
wine.data,4,60,1,0.9383720930232557,0.9379545750926053,8
wine.data,6,60,1,0.9269841269841269,0.9236927985126487,8
wine.data,8,60,1,0.900197628458498,0.8912805195893432,8
wine.data,2,10,1,0.8263888888888888,0.7981299289259518,10
wine.data,4,10,1,0.8704134366925065,0.8613723051539989,10
wine.data,6,10,1,0.8805555555555555,0.8796008289515714,10
