Data_set,Layer_size,Activation,CV,Stopping,Solver,Accuracy,F-score
wine.data,"(9,)",logistic,4,True,sgd,0.3697674418604652,0.17922077922077922
wine.data,"(9,)",logistic,6,True,sgd,0.3599206349206349,0.18683639297674384
wine.data,"(9,)",logistic,8,True,sgd,0.37074157726331636,0.1799858639228773
wine.data,"(9,)",logistic,2,False,adam,0.7198232323232323,0.6479138732633201
wine.data,"(9,)",logistic,4,False,adam,0.5887596899224806,0.49677101407364566
wine.data,"(9,)",logistic,6,False,adam,0.5623015873015873,0.44794620284816355
wine.data,"(9,)",logistic,8,False,adam,0.5333850931677019,0.3859834510929478
wine.data,"(9,)",logistic,2,False,sgd,0.39886363636363636,0.19008904374758034
wine.data,"(9,)",logistic,4,False,sgd,0.39883720930232563,0.1900793650793651
wine.data,"(9,)",logistic,6,False,sgd,0.4507936507936508,0.26592913259579926
wine.data,"(9,)",logistic,8,False,sgd,0.42212497647280256,0.23631132961172552
wine.data,"(12,)",logistic,2,True,adam,0.303030303030303,0.15476190476190477
wine.data,"(12,)",logistic,4,True,adam,0.31976744186046513,0.16136363636363638
wine.data,"(12,)",logistic,6,True,adam,0.43174603174603177,0.2669494891717114
wine.data,"(12,)",logistic,8,True,adam,0.3430735930735931,0.17051758898776417
wine.data,"(12,)",logistic,2,True,sgd,0.2981060606060606,0.15350877192982457
wine.data,"(12,)",logistic,4,True,sgd,0.35310077519379846,0.18211173358232183
wine.data,"(12,)",logistic,6,True,sgd,0.3845238095238095,0.2454788213093271
wine.data,"(12,)",logistic,8,True,sgd,0.3269927536231884,0.17507474501356593
wine.data,"(12,)",logistic,2,False,adam,0.7407828282828283,0.6624393077223265
wine.data,"(12,)",logistic,4,False,adam,0.6749354005167958,0.6001260835303388
wine.data,"(12,)",logistic,6,False,adam,0.684126984126984,0.6182226451834295
wine.data,"(12,)",logistic,8,False,adam,0.6315287972896668,0.5385810362904628
wine.data,"(12,)",logistic,2,False,sgd,0.39886363636363636,0.19008904374758034
wine.data,"(12,)",logistic,4,False,sgd,0.42661498708010337,0.23585112205801861
wine.data,"(12,)",logistic,6,False,sgd,0.3988095238095238,0.19006919006919007
wine.data,"(12,)",logistic,8,False,sgd,0.3989036325992848,0.19007519929551356
wine.data,"(15,)",logistic,2,True,adam,0.26969696969696966,0.14160401002506268
wine.data,"(15,)",logistic,4,True,adam,0.41421188630490957,0.257620320855615
wine.data,"(15,)",logistic,6,True,adam,0.33134920634920634,0.16508049402786246
wine.data,"(15,)",logistic,8,True,adam,0.34823781291172595,0.2076797258053001
wine.data,"(15,)",logistic,2,True,sgd,0.30997474747474746,0.161429431754635
wine.data,"(15,)",logistic,4,True,sgd,0.33087855297157626,0.16493506493506493
wine.data,"(15,)",logistic,6,True,sgd,0.2924603174603175,0.1474037263510948
wine.data,"(15,)",logistic,8,True,sgd,0.3640245623941276,0.2157203955263926
wine.data,"(15,)",logistic,2,False,adam,0.6515151515151515,0.5198351648351649
wine.data,"(15,)",logistic,4,False,adam,0.7434108527131782,0.6715267616702232
wine.data,"(15,)",logistic,6,False,adam,0.6408730158730159,0.5467973428674517
wine.data,"(15,)",logistic,8,False,adam,0.7548936570675702,0.7039786451471233
wine.data,"(15,)",logistic,2,False,sgd,0.39886363636363636,0.19008904374758034
wine.data,"(15,)",logistic,4,False,sgd,0.39883720930232563,0.1900793650793651
wine.data,"(15,)",logistic,6,False,sgd,0.3988095238095238,0.19006919006919007
wine.data,"(15,)",logistic,8,False,sgd,0.3989036325992848,0.19088165090841677
wine.data,"(18,)",logistic,2,True,adam,0.2981060606060606,0.15279652121757387
wine.data,"(18,)",logistic,4,True,adam,0.3488372093023256,0.1875937554508983
wine.data,"(18,)",logistic,6,True,adam,0.34761904761904766,0.17109904390606145
wine.data,"(18,)",logistic,8,True,adam,0.331933465085639,0.1750716824656619
wine.data,"(18,)",logistic,2,True,sgd,0.2981060606060606,0.15279652121757387
wine.data,"(18,)",logistic,4,True,sgd,0.36472868217054266,0.1778404344193818
