Data_set,Boot,Max_sample,Cv,Max_feature,Number_of_est,Accuracy,F-score
wine.data,True,40,8,8,15,0.9436053077357425,0.9448770499080097
wine.data,True,40,2,8,20,0.9775252525252525,0.9779963573620596
wine.data,True,40,4,8,20,0.9608527131782946,0.9610002542260606
wine.data,True,40,6,8,20,0.9773809523809525,0.9782811675394796
wine.data,True,40,8,8,20,0.9720614530397138,0.9713683375448081
wine.data,True,40,2,10,5,0.9325757575757576,0.933519430965358
wine.data,True,40,4,10,5,0.9775193798449613,0.9766918994092907
wine.data,True,40,6,10,5,0.9380952380952382,0.9397205542239643
wine.data,True,40,8,10,5,0.9335239036325993,0.935684852499868
wine.data,True,40,2,10,10,0.966540404040404,0.9679518371163333
wine.data,True,40,4,10,10,0.9555555555555555,0.9554537953174101
wine.data,True,40,6,10,10,0.9440476190476191,0.9448906901749367
wine.data,True,40,8,10,10,0.9718379446640317,0.9726951357466064
wine.data,True,40,2,10,15,0.9381313131313131,0.9393375685613677
wine.data,True,40,4,10,15,0.9666666666666667,0.9672448238826323
wine.data,True,40,6,10,15,0.9607142857142859,0.9611356920550621
wine.data,True,40,8,10,15,0.9664031620553359,0.9672210550887022
wine.data,True,40,2,10,20,0.9609848484848484,0.9620531570726958
wine.data,True,40,4,10,20,0.9666666666666667,0.9665361721611722
wine.data,True,40,6,10,20,0.9603174603174603,0.9618042704218501
wine.data,True,40,8,10,20,0.9664031620553359,0.9673474444372278
wine.data,True,40,2,12,5,0.960479797979798,0.9615968670346551
wine.data,True,40,4,12,5,0.9608527131782946,0.9626699788013486
wine.data,True,40,6,12,5,0.9269841269841269,0.9288082501413143
wine.data,True,40,8,12,5,0.9493577075098815,0.9510126243582127
wine.data,True,40,2,12,10,0.9659090909090908,0.9659595959595959
wine.data,True,40,4,12,10,0.9547803617571059,0.9565828626359936
wine.data,True,40,6,12,10,0.9662698412698413,0.9679390541938216
wine.data,True,40,8,12,10,0.9658855637116506,0.9664971262397732
wine.data,True,40,2,12,15,0.9777777777777779,0.9781530676786845
wine.data,True,40,4,12,15,0.9611111111111111,0.9620356434362602
wine.data,True,40,6,12,15,0.9607142857142859,0.9616920369762832
wine.data,True,40,8,12,15,0.9710262563523433,0.971096387272858
wine.data,True,40,2,12,20,0.9662878787878788,0.9670192368358921
wine.data,True,40,4,12,20,0.9722222222222222,0.973187565123049
wine.data,True,40,6,12,20,0.9718253968253969,0.9725977347460724
wine.data,True,40,8,12,20,0.9780138339920948,0.9788498198424669
wine.data,True,40,2,14,5,0.9830808080808081,0.9837937052755374
wine.data,True,40,4,14,5,0.9603359173126615,0.9610098151076619
wine.data,True,40,6,14,5,0.9607142857142859,0.961791175260911
wine.data,True,40,8,14,5,0.9661090720873329,0.9665529774662902
wine.data,True,40,2,14,10,0.960479797979798,0.962028153945075
wine.data,True,40,4,14,10,0.955297157622739,0.9568656820385795
wine.data,True,40,6,14,10,0.9547619047619048,0.9552287333505083
wine.data,True,40,8,14,10,0.9663796348578958,0.9661659461969061
wine.data,True,40,2,14,15,0.948989898989899,0.9498417643858241
wine.data,True,40,4,14,15,0.9717054263565892,0.9727601902830098
wine.data,True,40,6,14,15,0.9662698412698413,0.9664162408138717
wine.data,True,40,8,14,15,0.9614624505928854,0.9617321855131453
wine.data,True,40,2,14,20,0.9607323232323233,0.9609559629439224
wine.data,True,40,4,14,20,0.9777777777777777,0.9782931237010934
wine.data,True,40,6,14,20,0.9607142857142857,0.9621973376179863
wine.data,True,40,8,14,20,0.9659090909090909,0.966456807081807
wine.data,True,60,2,2,5,0.7756313131313131,0.7796608557199458
wine.data,True,60,4,2,5,0.6766149870801033,0.5892255892255891
wine.data,True,60,6,2,5,0.6527777777777777,0.6021533440570247
wine.data,True,60,8,2,5,0.6958874458874459,0.6387898196431478
wine.data,True,60,2,2,10,0.6901515151515152,0.6695538981142697
wine.data,True,60,4,2,10,0.8191214470284237,0.8033517478926895
wine.data,True,60,6,2,10,0.8702380952380953,0.8714581851047054
wine.data,True,60,8,2,10,0.7738448146056842,0.7403520594019142
wine.data,True,60,2,2,15,0.757070707070707,0.723452171747313
wine.data,True,60,4,2,15,0.8939276485788114,0.8910915670952487
wine.data,True,60,6,2,15,0.85,0.8374605247924523
wine.data,True,60,8,2,15,0.7808323922454357,0.7532635231841889
wine.data,True,60,2,2,20,0.9773989898989899,0.9779034263037525
wine.data,True,60,4,2,20,0.9095607235142118,0.9107399844422162
wine.data,True,60,6,2,20,0.8587301587301588,0.8570821215544714
wine.data,True,60,8,2,20,0.8516139657444006,0.8325710305489717
wine.data,True,60,2,4,5,0.915530303030303,0.9129976433918225
wine.data,True,60,4,4,5,0.8868217054263566,0.8870997623785666
wine.data,True,60,6,4,5,0.8940476190476191,0.8935528201941357
wine.data,True,60,8,4,5,0.8311805947675512,0.8227312801826532
wine.data,True,60,2,4,10,0.9213383838383838,0.9204136810278766
wine.data,True,60,4,4,10,0.9436692506459948,0.9438365157275057
wine.data,True,60,6,4,10,0.8777777777777779,0.876115769800429
wine.data,True,60,8,4,10,0.91600790513834,0.9185991951375079
wine.data,True,60,2,4,15,0.9045454545454545,0.906729518204928
wine.data,True,60,4,4,15,0.9156330749354005,0.916528644797432
wine.data,True,60,6,4,15,0.9317460317460317,0.9339207633325279
wine.data,True,60,8,4,15,0.9278656126482214,0.9288901017712936
wine.data,True,60,2,4,20,0.9664141414141414,0.9671940848275453
wine.data,True,60,4,4,20,0.9098191214470284,0.9099499214165837
wine.data,True,60,6,4,20,0.9496031746031747,0.9507482350619605
wine.data,True,60,8,4,20,0.9263128176171656,0.9294085408055996
wine.data,True,60,2,6,5,0.8651515151515152,0.8693142159387026
wine.data,True,60,4,6,5,0.85671834625323,0.8410774373475987
wine.data,True,60,6,6,5,0.9214285714285714,0.9166727945830112
wine.data,True,60,8,6,5,0.9286067193675889,0.9287218289250023
wine.data,True,60,2,6,10,0.948989898989899,0.9494949736266529
wine.data,True,60,4,6,10,0.9547803617571059,0.9557925840587131
wine.data,True,60,6,6,10,0.9500000000000001,0.9513245901185058
wine.data,True,60,8,6,10,0.9661090720873329,0.967844124829419
wine.data,True,60,2,6,15,0.9435606060606061,0.9464559513163637
wine.data,True,60,4,6,15,0.9603359173126615,0.9612915958172126
wine.data,True,60,6,6,15,0.9607142857142857,0.9615936428428015
wine.data,True,60,8,6,15,0.9658855637116507,0.9665912518853697
wine.data,True,60,2,6,20,0.9550505050505051,0.9552273452883846
wine.data,True,60,4,6,20,0.9497416020671834,0.9513080683806594
wine.data,True,60,6,6,20,0.9777777777777777,0.9782063868239664
wine.data,True,60,8,6,20,0.9438758705063053,0.9443127177260304
wine.data,True,60,2,8,5,0.9101010101010101,0.9124135538012259
